player_id,player
1300,BG Randell
1301,FJ Colson
1302,PF Younghusband
1303,JJ Tasman-Jones
1304,Abdul Waheed
1305,Afzal Saleem
1306,E Ochieng
1307,Gulam Mustafa
1308,Ibrarul Haq
1309,Imran Azam
1310,Inayat Saeed
1311,K Kaul
1312,Muhammad Abbasi
1313,Muzaffar Mujeed
1314,PM Musoke
1315,Roheel Shamus
1316,Shanawaz Khan
1317,W Trenk
1318,Waqas Akram
1319,AS Kyobe
1320,Abdalah Lubega
1321,Asgarali Kassam
1322,B Masaba
1323,D Muhumuza
1324,Dharmang Patel
1325,F Nsubuga
1326,Faisal Javed
1327,H Ssenyondo
1328,HB Kayondo
1329,Imran Ashraf
1330,Iqbal Hussain
1331,J Sebanja
1332,Kamran Khan
1333,L Sematimba
1334,M Okello
1335,Mohammad Rizlan
1336,Mohammed Awais
1337,Mohammed Irfan
1338,Mohammed Nadeem
1339,Mujeeb-ur-Rehman
1340,Nouman Sarwar
1341,Tamoor Sajjad
1342,Z Arinaitwe
1343,A Otwani
1344,E Isaneez
1345,IO Oyieko
1346,C Udoyi
1347,H Ochieng
1348,Hammad Saeed
1349,Mohsin Shabbir
1350,Shoaib Ali
1351,A Hartley
1352,L Winfield
1353,LA Marsh
1354,OU Ranasinghe
1355,SS Weerakkody
1356,H Karunaratne
1357,MAA Sanjeewani
1358,NND de Silva
1359,WGAKK Kulasuriya
1360,WN de Silva
1361,Inam-ul-Haq
1362,Nicholas Otieno
1363,CB Mpofu
1364,CBRLS Kumara
1365,CT Mumba
1366,FDM Karunaratne
1367,HMRKB Herath
1368,JK Silva
1369,MDK Perera
1370,GSNFG Jayasuriya
1371,SS Pathirana
1372,T Panyangara
1373,TS Chisoro
1374,JDF Vandersay
1375,BV Vitori
1376,TK Musakanda
1377,A Bonora
1378,A Bulow
1379,A Khan
1380,Aftab Ahmed (2)
1381,BBJL Perera
1382,Bashir Shah
1383,C Young
1384,CS Sandri
1385,Charanjeet Singh
1386,DG Crowley
1387,FA Klokker
1388,GP Meade
1389,HAM Shah
1390,JM Williams
1391,L di Giglio
1392,MMBRSTC Wanigaratne
1393,MR Pedersen
1394,Manpreet Singh
1395,R Tanweer
1396,RB Javed
1397,SA Ahmad
1398,WTN Fernando
1399,Yasir Iqbal
1400,Zameer Khan
1401,A Poulose
1402,AV Lalcheta
1403,Akbar Ali
1404,Amir Ali
1405,BJ Hall
1406,C Outerbridge
1407,DA Minors
1408,DC Stovell
1409,GH Maybury
1410,JA DeSilva
1411,JJ Tucker
1412,Jatinder Singh
1413,KS Leverock
1414,Khawar Ali
1415,M Ansari
1416,Mohammad Nadeem
1417,OL Pitcher
1418,RJ Ranpura
1419,S Bremar
1420,SS Khadye
1421,T Manders
1422,Zeeshan Maqsood
